,zip,gross_income_level,number_of_returns
24,43004.0,,13350
25,43004.0,1~25000,3500
26,43004.0,25000~50000,3330
27,43004.0,50000~75000,2350
28,43004.0,75000~100000,1540
29,43004.0,100000~200000,1880
30,43004.0,200000 or more,750
80,43016.0,,21000
81,43016.0,1~25000,4620
82,43016.0,25000~50000,3940
83,43016.0,50000~75000,3410
84,43016.0,75000~100000,2580
85,43016.0,100000~200000,4420
86,43016.0,200000 or more,2030
88,43017.0,,19750
89,43017.0,1~25000,4960
90,43017.0,25000~50000,2990
91,43017.0,50000~75000,2320
92,43017.0,75000~100000,2010
93,43017.0,100000~200000,4300
94,43017.0,200000 or more,3170
136,43026.0,,30320
137,43026.0,1~25000,8310
138,43026.0,25000~50000,6580
139,43026.0,50000~75000,4690
140,43026.0,75000~100000,3560
141,43026.0,100000~200000,5820
142,43026.0,200000 or more,1360
224,43054.0,,12390
225,43054.0,1~25000,2590
226,43054.0,25000~50000,2020
227,43054.0,50000~75000,1730
228,43054.0,75000~100000,1230
229,43054.0,100000~200000,2560
230,43054.0,200000 or more,2260
304,43068.0,,28250
305,43068.0,1~25000,9900
306,43068.0,25000~50000,8750
307,43068.0,50000~75000,4350
308,43068.0,75000~100000,2470
309,43068.0,100000~200000,2530
310,43068.0,200000 or more,250
360,43081.0,,31500
361,43081.0,1~25000,8630
362,43081.0,25000~50000,7450
363,43081.0,50000~75000,5470
364,43081.0,75000~100000,3840
365,43081.0,100000~200000,5160
366,43081.0,200000 or more,950
384,43085.0,,13030
385,43085.0,1~25000,3210
386,43085.0,25000~50000,2670
387,43085.0,50000~75000,2040
388,43085.0,75000~100000,1490
389,43085.0,100000~200000,2680
390,43085.0,200000 or more,940
432,43110.0,,18690
433,43110.0,1~25000,5990
434,43110.0,25000~50000,5190
435,43110.0,50000~75000,3040
436,43110.0,75000~100000,1850
437,43110.0,100000~200000,2230
438,43110.0,200000 or more,390
472,43119.0,,14520
473,43119.0,1~25000,4570
474,43119.0,25000~50000,4220
475,43119.0,50000~75000,2460
476,43119.0,75000~100000,1530
477,43119.0,100000~200000,1560
478,43119.0,200000 or more,180
480,43123.0,,32560
481,43123.0,1~25000,9610
482,43123.0,25000~50000,8370
483,43123.0,50000~75000,5570
484,43123.0,75000~100000,3790
485,43123.0,100000~200000,4520
486,43123.0,200000 or more,700
488,43125.0,,7030
489,43125.0,1~25000,2220
490,43125.0,25000~50000,2160
491,43125.0,50000~75000,1260
492,43125.0,75000~100000,710
493,43125.0,100000~200000,620
494,43125.0,200000 or more,60
528,43137.0,,1180
529,43137.0,1~25000,430
530,43137.0,25000~50000,320
531,43137.0,50000~75000,170
532,43137.0,75000~100000,110
533,43137.0,100000~200000,150
534,43137.0,200000 or more,0
664,43201.0,,12260
665,43201.0,1~25000,6140
666,43201.0,25000~50000,3010
667,43201.0,50000~75000,1350
668,43201.0,75000~100000,620
669,43201.0,100000~200000,820
670,43201.0,200000 or more,320
672,43202.0,,10210
673,43202.0,1~25000,4030
674,43202.0,25000~50000,3080
675,43202.0,50000~75000,1370
676,43202.0,75000~100000,810
677,43202.0,100000~200000,800
678,43202.0,200000 or more,120
680,43203.0,,3450
681,43203.0,1~25000,1910
682,43203.0,25000~50000,1000
683,43203.0,50000~75000,270
684,43203.0,75000~100000,130
685,43203.0,100000~200000,110
686,43203.0,200000 or more,30
688,43204.0,,19260
689,43204.0,1~25000,8620
690,43204.0,25000~50000,5990
691,43204.0,50000~75000,2580
692,43204.0,75000~100000,1120
693,43204.0,100000~200000,820
694,43204.0,200000 or more,130
696,43205.0,,5640
697,43205.0,1~25000,2880
698,43205.0,25000~50000,1680
699,43205.0,50000~75000,540
700,43205.0,75000~100000,260
701,43205.0,100000~200000,230
702,43205.0,200000 or more,50
704,43206.0,,11620
705,43206.0,1~25000,4450
706,43206.0,25000~50000,3380
707,43206.0,50000~75000,1570
708,43206.0,75000~100000,770
709,43206.0,100000~200000,1030
710,43206.0,200000 or more,420
712,43207.0,,21320
713,43207.0,1~25000,9520
714,43207.0,25000~50000,7130
715,43207.0,50000~75000,2750
716,43207.0,75000~100000,1170
717,43207.0,100000~200000,710
718,43207.0,200000 or more,40
720,43209.0,,13160
721,43209.0,1~25000,4110
722,43209.0,25000~50000,2960
723,43209.0,50000~75000,1800
724,43209.0,75000~100000,1150
725,43209.0,100000~200000,1900
726,43209.0,200000 or more,1240
728,43210.0,,510
729,43210.0,1~25000,390
730,43210.0,25000~50000,80
