Sum of number_of_returns,Column Labels,,,,,,,
Row Labels,1~25000,100000~200000,200000 or more,25000~50000,50000~75000,75000~100000,(blank),Grand Total
43004,3500,1880,750,3330,2350,1540,13350,26700
43016,4620,4420,2030,3940,3410,2580,21000,42000
43017,4960,4300,3170,2990,2320,2010,19750,39500
43026,8310,5820,1360,6580,4690,3560,30320,60640
43054,2590,2560,2260,2020,1730,1230,12390,24780
43068,9900,2530,250,8750,4350,2470,28250,56500
43081,8630,5160,950,7450,5470,3840,31500,63000
43085,3210,2680,940,2670,2040,1490,13030,26060
43110,5990,2230,390,5190,3040,1850,18690,37380
43119,4570,1560,180,4220,2460,1530,14520,29040
43123,9610,4520,700,8370,5570,3790,32560,65120
43125,2220,620,60,2160,1260,710,7030,14060
43137,430,150,0,320,170,110,1180,2360
43201,6140,820,320,3010,1350,620,12260,24520
43202,4030,800,120,3080,1370,810,10210,20420
43203,1910,110,30,1000,270,130,3450,6900
43204,8620,820,130,5990,2580,1120,19260,38520
43205,2880,230,50,1680,540,260,5640,11280
43206,4450,1030,420,3380,1570,770,11620,23240
43207,9520,710,40,7130,2750,1170,21320,42640
43209,4110,1900,1240,2960,1800,1150,13160,26320
43210,390,0,0,80,20,20,510,1020
43211,5810,50,0,2440,550,120,8970,17940
43212,2820,1560,860,3660,2370,1070,12340,24680
43213,7590,810,150,5430,1900,960,16840,33680
43214,3720,2580,680,3470,2520,1830,14800,29600
43215,2050,1140,630,2490,2010,990,9310,18620
43217,480,0,0,440,100,20,1040,2080
43219,6610,490,70,3890,1500,610,13170,26340
43220,4190,2220,1430,3290,2000,1230,14360,28720
43221,3840,3630,2130,3120,2650,1970,17340,34680
43222,1070,0,0,410,80,40,1600,3200
43223,5690,200,0,3220,1050,380,10540,21080
43224,10470,450,30,6720,2060,750,20480,40960
43227,5940,240,0,3930,1170,390,11670,23340
43228,11200,1490,110,8200,3410,1750,26160,52320
43229,11610,970,80,8700,3020,1280,25660,51320
43230,8000,4580,900,7540,5140,3530,29690,59380
43231,4430,590,40,3330,1390,770,10550,21100
43232,10180,520,40,7410,2380,950,21480,42960
43235,6100,3620,1390,5500,3550,2440,22600,45200
(blank),,,,,,,,
Grand Total,222390,69990,23930,169490,89960,53840,629600,1259200
