zip_code,no_less_25000,no_25000_to_50000,no_50000_to_75000,no_75000_to_100000,no_100000_to_200000,no_greater_200000,no_total
43004,3500,3330,2350,1540,1880,750,13350
43016,4620,3940,3410,2580,4420,2030,21000
43017,4960,2990,2320,2010,4300,3170,19750
43026,8310,6580,4690,3560,5820,1360,30320
43054,2590,2020,1730,1230,2560,2260,12390
43068,9900,8750,4350,2470,2530,250,28250
43081,8630,7450,5470,3840,5160,950,31500
43085,3210,2670,2040,1490,2680,940,13030
43110,5990,5190,3040,1850,2230,390,18690
43119,4570,4220,2460,1530,1560,180,14520
43123,9610,8370,5570,3790,4520,700,32560
43125,2220,2160,1260,710,620,60,7030
43137,430,320,170,110,150,0,1180
43201,6140,3010,1350,620,820,320,12260
43202,4030,3080,1370,810,800,120,10210
43203,1910,1000,270,130,110,30,3450
43204,8620,5990,2580,1120,820,130,19260
43205,2880,1680,540,260,230,50,5640
43206,4450,3380,1570,770,1030,420,11620
43207,9520,7130,2750,1170,710,40,21320
43209,4110,2960,1800,1150,1900,1240,13160
43210,390,80,20,20,0,0,510
43211,5810,2440,550,120,50,0,8970
43212,2820,3660,2370,1070,1560,860,12340
43213,7590,5430,1900,960,810,150,16840
43214,3720,3470,2520,1830,2580,680,14800
43215,2050,2490,2010,990,1140,630,9310
43217,480,440,100,20,0,0,1040
43219,6610,3890,1500,610,490,70,13170
43220,4190,3290,2000,1230,2220,1430,14360
43221,3840,3120,2650,1970,3630,2130,17340
43222,1070,410,80,40,0,0,1600
43223,5690,3220,1050,380,200,0,10540
43224,10470,6720,2060,750,450,30,20480
43227,5940,3930,1170,390,240,0,11670
43228,11200,8200,3410,1750,1490,110,26160
43229,11610,8700,3020,1280,970,80,25660
43230,8000,7540,5140,3530,4580,900,29690
43231,4430,3330,1390,770,590,40,10550
43232,10180,7410,2380,950,520,40,21480
43235,6100,5500,3550,2440,3620,1390,22600
