"ZIP
code [1]",Size of adjusted gross income,Number of returns
00000,Total,"5,515,670"
00000,"$1 under $25,000",1999710
00000,"$25,000 under $50,000",1432230
00000,"$50,000 under $75,000",815110
00000,"$75,000 under $100,000",500390
00000,"$100,000 under $200,000",598860
00000,"$200,000 or more",169370
,,
43001,,"1,310"
43001,"$1 under $25,000",380
43001,"$25,000 under $50,000",250
43001,"$50,000 under $75,000",220
43001,"$75,000 under $100,000",160
43001,"$100,000 under $200,000",240
43001,"$200,000 or more",60
,,
43003,,"1,340"
43003,"$1 under $25,000",490
43003,"$25,000 under $50,000",360
43003,"$50,000 under $75,000",210
43003,"$75,000 under $100,000",140
43003,"$100,000 under $200,000",140
43003,"$200,000 or more",**
,,
43004,,"13,350"
43004,"$1 under $25,000",3500
43004,"$25,000 under $50,000",3330
43004,"$50,000 under $75,000",2350
43004,"$75,000 under $100,000",1540
43004,"$100,000 under $200,000",1880
43004,"$200,000 or more",750
,,
43006,,300
43006,"$1 under $25,000",130
43006,"$25,000 under $50,000",100
43006,"$50,000 under $75,000",40
43006,"$75,000 under $100,000",30
43006,"$100,000 under $200,000",**
43006,"$200,000 or more",**
,,
43009,,900
43009,"$1 under $25,000",270
43009,"$25,000 under $50,000",220
43009,"$50,000 under $75,000",160
43009,"$75,000 under $100,000",120
43009,"$100,000 under $200,000",130
43009,"$200,000 or more",**
,,
43011,,"3,560"
43011,"$1 under $25,000",1090
43011,"$25,000 under $50,000",820
43011,"$50,000 under $75,000",610
43011,"$75,000 under $100,000",470
43011,"$100,000 under $200,000",490
43011,"$200,000 or more",80
,,
43013,,570
43013,"$1 under $25,000",180
43013,"$25,000 under $50,000",140
43013,"$50,000 under $75,000",90
43013,"$75,000 under $100,000",70
43013,"$100,000 under $200,000",90
43013,"$200,000 or more",**
,,
43014,,"1,520"
43014,"$1 under $25,000",590
43014,"$25,000 under $50,000",490
43014,"$50,000 under $75,000",220
43014,"$75,000 under $100,000",110
43014,"$100,000 under $200,000",110
43014,"$200,000 or more",**
,,
43015,,"25,020"
43015,"$1 under $25,000",7210
43015,"$25,000 under $50,000",5490
43015,"$50,000 under $75,000",3770
43015,"$75,000 under $100,000",2870
43015,"$100,000 under $200,000",4420
43015,"$200,000 or more",1260
,,
43016,,"21,000"
43016,"$1 under $25,000",4620
43016,"$25,000 under $50,000",3940
43016,"$50,000 under $75,000",3410
43016,"$75,000 under $100,000",2580
43016,"$100,000 under $200,000",4420
43016,"$200,000 or more",2030
,,
43017,,"19,750"
43017,"$1 under $25,000",4960
43017,"$25,000 under $50,000",2990
43017,"$50,000 under $75,000",2320
43017,"$75,000 under $100,000",2010
43017,"$100,000 under $200,000",4300
43017,"$200,000 or more",3170
,,
43019,,"4,040"
43019,"$1 under $25,000",1360
43019,"$25,000 under $50,000",1170
43019,"$50,000 under $75,000",720
43019,"$75,000 under $100,000",370
43019,"$100,000 under $200,000",360
43019,"$200,000 or more",60
,,
43021,,"5,950"
43021,"$1 under $25,000",1390
43021,"$25,000 under $50,000",610
43021,"$50,000 under $75,000",640
43021,"$75,000 under $100,000",630
43021,"$100,000 under $200,000",1670
43021,"$200,000 or more",1010
,,
43022,,"1,180"
43022,"$1 under $25,000",390
